season,product_a,commodity_a,product_b,commodity_b,co_basket_count,seasonal_support,confidence_a_to_b,seasonal_lift
Fall,880253,YOGURT,908489,YOGURT,57,0.001035441152427837,0.178125,557.0991309646492
Fall,917494,PWDR/CRYSTL DRNK MX,1036432,PWDR/CRYSTL DRNK MX,63,0.0011444349579465567,0.14383561643835616,397.09007074510504
Fall,870780,YOGURT,945273,YOGURT,57,0.001035441152427837,0.09033280507131537,349.41506176894507
Fall,850841,ISOTONIC DRINKS,1135768,ISOTONIC DRINKS,79,0.001435085105996476,0.12599681020733652,316.3916350983414
Fall,850841,ISOTONIC DRINKS,1029968,ISOTONIC DRINKS,59,0.001071772420934077,0.09409888357256778,296.97669385367044
Fall,894236,NEWSPAPER,1126203,NO COMMODITY DESCRIPTION,60,0.0010899380551871968,0.05698005698005698,270.9758588858877
Fall,885697,BAKED SWEET GOODS,1110244,BAKED SWEET GOODS,57,0.001035441152427837,0.09375,215.8959711515268
Fall,5584007,YOGURT,5588666,YOGURT,62,0.0011262693236934367,0.09904153354632587,212.57082074477552
Fall,824555,PWDR/CRYSTL DRNK MX,951526,PWDR/CRYSTL DRNK MX,78,0.001416919471743356,0.11538461538461539,207.28075725643652
Fall,5584007,YOGURT,5585635,YOGURT,57,0.001035441152427837,0.09105431309904154,198.49595630340244
Fall,5585635,YOGURT,5588666,YOGURT,57,0.001035441152427837,0.08948194662480377,192.05327456867064
Fall,900491,PWDR/CRYSTL DRNK MX,1053763,PWDR/CRYSTL DRNK MX,74,0.001344256934730876,0.12521150592216582,186.16067130630023
Fall,824555,PWDR/CRYSTL DRNK MX,989075,PWDR/CRYSTL DRNK MX,68,0.0012352631292121565,0.10059171597633136,181.41035172206676
Fall,824555,PWDR/CRYSTL DRNK MX,1053763,PWDR/CRYSTL DRNK MX,80,0.001453250740249596,0.11834319526627218,175.94907523112659
Fall,1050131,PWDR/CRYSTL DRNK MX,1053763,PWDR/CRYSTL DRNK MX,65,0.0011807662264527966,0.11443661971830986,170.1408971315075
Fall,911215,PWDR/CRYSTL DRNK MX,1053763,PWDR/CRYSTL DRNK MX,58,0.001053606786680957,0.11372549019607843,169.08361131524535
Fall,951526,PWDR/CRYSTL DRNK MX,989075,PWDR/CRYSTL DRNK MX,72,0.0013079256662246362,0.09314359637774904,167.978172114307
Fall,5584007,YOGURT,5590287,YOGURT,61,0.0011081036894403167,0.09744408945686901,166.23469490239466
Fall,989075,PWDR/CRYSTL DRNK MX,1053763,PWDR/CRYSTL DRNK MX,82,0.0014895820087558356,0.10649350649350649,158.33131717876313
Fall,951526,PWDR/CRYSTL DRNK MX,1053763,PWDR/CRYSTL DRNK MX,72,0.0013079256662246362,0.09314359637774904,138.48307551179482
Fall,833715,SOUP,1003421,SOUP,62,0.0011262693236934367,0.05778191985088537,131.10858164405346
Fall,892008,MEAT - SHELF STABLE,1045220,MEAT - SHELF STABLE,64,0.0011626005921996766,0.07079646017699115,115.93278397450494
Fall,925626,FROZEN PIZZA,1127624,FROZEN PIZZA,58,0.001053606786680957,0.0640176600441501,109.34522537179224
